,review,game,overall_score,genre,reviewer_id
478,"Anno 2070 is a polished management sim with some innovative ideas, but it doesn't push them far enough.",Anno 2070,75.0,Strategy,696
479,"The leap into the future was a good move by Ubisoft, enabling the combination of the formula already established with elements of science fiction.",Anno 2070,70.0,Strategy,697
480,A slow paced and highly complex RTS with focus on ecology.,Anno 2070,70.0,Strategy,698
481,"The revamped GUI leads you brilliantly and ""ergonomically"" to the build chains you want to produce the goods you desire, without needing to constantly recourse to rollover tips or a game encyclopedia (although both are also available), and this just makes the whole experience pleasant and logical.",Anno 2070,70.0,Strategy,699
482,Quotation forthcoming.,Anno 2070,70.0,Strategy,700
544,The wannabe detective's definitive version to plump for.,L.A. Noire: The Complete Edition,92.0,"Adventure,Strategy",730
545,"[Feb 2012, p.101]",L.A. Noire: The Complete Edition,92.0,"Adventure,Strategy",730
546,"I would recommend this game to everyone, without any hesitation.",L.A. Noire: The Complete Edition,92.0,"Adventure,Strategy",731
547,"What it does well, it does amazingly well and where it stumbles, it's only ever a minor hiccup.",L.A. Noire: The Complete Edition,92.0,"Adventure,Strategy",731
548,"L.A. Noire offers a film-like play experience, with you the male detective lead.",L.A. Noire: The Complete Edition,91.0,"Adventure,Strategy",732
549,"You should really want that, because the easy action parts are mostly there as a diversion – detective work is at the core.",L.A. Noire: The Complete Edition,91.0,"Adventure,Strategy",732
550,"There's minor flaws like the weak AI, but hobby criminologists surely can live with that.",L.A. Noire: The Complete Edition,91.0,"Adventure,Strategy",732
551,"A unique adventure game that borrows many features from mystery and action games, incorporating them seamlessly in the narrative flow, thus creating a truly special game that not everyone will enjoy.",L.A. Noire: The Complete Edition,90.0,"Adventure,Strategy",733
552,"And that's because it has its own character, defying contemporary 'fast food' games that are churned out today and because it's reminiscent of endeavors made in another era, where immersion of an ultimate single-player experience was the first and last goal of their creators.",L.A. Noire: The Complete Edition,90.0,"Adventure,Strategy",733
553,"Ingenious game merges a classic adventure with sandbox action titles, resourcefully.",L.A. Noire: The Complete Edition,90.0,"Adventure,Strategy",734
554,Playability is not always perfect but overall impression is stunning.,L.A. Noire: The Complete Edition,90.0,"Adventure,Strategy",734
555,[Christmas 2011],L.A. Noire: The Complete Edition,90.0,"Adventure,Strategy",734
556,It's too bad that the company that made L.A. Noire went under before the fully realized PC version came out.,L.A. Noire: The Complete Edition,90.0,"Adventure,Strategy",735
557,The detective playstyle and the 1940's ambience of L.A. Noire are something completely different from what we usually see in games nowadays.,L.A. Noire: The Complete Edition,90.0,"Adventure,Strategy",735
558,"At times the interrogations can be a bit frustrating, but that only adds to the overall atmosphere of the game.",L.A. Noire: The Complete Edition,90.0,"Adventure,Strategy",735
559,[Dec 2011],L.A. Noire: The Complete Edition,90.0,"Adventure,Strategy",735
560,L.A. Noire shows us that not every sandbox game has to be about killing prostitutes.,L.A. Noire: The Complete Edition,90.0,"Adventure,Strategy",736
561,This Complete Edition for the PC shows up a bit late to the party but that doesn't make it any less fun.,L.A. Noire: The Complete Edition,90.0,"Adventure,Strategy",736
562,The interrogations are a lot of fun and you'll feel like a true Sherlock Holmes at times.,L.A. Noire: The Complete Edition,90.0,"Adventure,Strategy",736
563,It's just a shame that the replay value is very low.,L.A. Noire: The Complete Edition,90.0,"Adventure,Strategy",736
564,Rockstars detective adventures is even more entertaining on PC.,L.A. Noire: The Complete Edition,90.0,"Adventure,Strategy",737
565,"Not only does it have all the expansions, but also provides far better graphics.",L.A. Noire: The Complete Edition,90.0,"Adventure,Strategy",737
566,"L.A. Noire's length can vary significantly, depending on how many street crimes you respond to and how much of your own driving you do, but in any case, the 26 story cases (up from 21 in the original console release) make for a complete and satisfying experience.",L.A. Noire: The Complete Edition,90.0,"Adventure,Strategy",738
567,It's hard to remember anything so avant-garde as L.A. Noire.,L.A. Noire: The Complete Edition,90.0,"Adventure,Strategy",739
568,Team Bondi puts forth some truly amazing gameplay concepts as to what balance between graphic adventures and action games in the future should be.,L.A. Noire: The Complete Edition,90.0,"Adventure,Strategy",739
569,L.A. Noire is one of the greatest titles of this year and the real crime is that up to now PC players couldn't play it.,L.A. Noire: The Complete Edition,90.0,"Adventure,Strategy",740
570,"Without a doubt, the best possible version of Team Bondi's last effort, since it includes all the downloadable content released to date.",L.A. Noire: The Complete Edition,90.0,"Adventure,Strategy",741
571,"The graphics didn't improve that much, however, and you may experience some annoying problems in running the game on certain configurations.",L.A. Noire: The Complete Edition,90.0,"Adventure,Strategy",741
572,"L.A. Noire: The Complete Edition retains the essence of the game by raising its technical level, but it has some obvious differences controlling the character or handling a vehicle.",L.A. Noire: The Complete Edition,90.0,"Adventure,Strategy",742
573,"However, the game is much more immersive on its version for PC and this greatly benefits a title with a remarkable story.",L.A. Noire: The Complete Edition,90.0,"Adventure,Strategy",742
574,L.A. Noire is a must for any player... if he did not play it on Xbox630 or PS3.,L.A. Noire: The Complete Edition,90.0,"Adventure,Strategy",742
575,"A game which is not for everyone, but will inspire many with its great atmosphere and thrilling story.",L.A. Noire: The Complete Edition,88.0,"Adventure,Strategy",743
576,This PC version has improved visuals but lacks a better optimization.,L.A. Noire: The Complete Edition,88.0,"Adventure,Strategy",743
577,"The controls have also been adapted decently, but with room for improvement.",L.A. Noire: The Complete Edition,88.0,"Adventure,Strategy",743
578,"LA Noire Complete Edition is an adult experience, supported by the excellent motionscan technology and a great narrative for our media.",L.A. Noire: The Complete Edition,87.0,"Adventure,Strategy",744
579,"A good title that deserves a chance, despite its oddities probably due to the original development team, swallowed by debt and afflicted by a not edifying work story.",L.A. Noire: The Complete Edition,87.0,"Adventure,Strategy",744
580,"It lacks optimization, both in controls and bug fixing, sometimes with major crashes and incompatibility with common hardware.",L.A. Noire: The Complete Edition,87.0,"Adventure,Strategy",745
581,"Even when working, it doesn't seem like there's any reason to be found for the 6 months delay.",L.A. Noire: The Complete Edition,87.0,"Adventure,Strategy",745
582,The PC edition of Team Bondi's groundbreaking adventure game offers 5 additional investigations (previously released for consoles as DLC) and translated to PC very well.,L.A. Noire: The Complete Edition,85.0,"Adventure,Strategy",746
583,"[January 2012, p.52]",L.A. Noire: The Complete Edition,85.0,"Adventure,Strategy",746
584,The awesome performances and great facial capture make every interrogation and investigation a riveting affair.,L.A. Noire: The Complete Edition,85.0,"Adventure,Strategy",747
585,"Rockstar Leeds has done a great job bringing Team Bondi's L.A. Noire to the PC, which is a thoroughly interesting and at times quite addictive crime thriller.",L.A. Noire: The Complete Edition,85.0,"Adventure,Strategy",748
586,It's easy to get wrapped up in a case and wanting to uncover what really happened; sifting through the false smiles of NPCs and rubbing their nose in our superior detective work.,L.A. Noire: The Complete Edition,85.0,"Adventure,Strategy",748
587,Quotation forthcoming.,L.A. Noire: The Complete Edition,81.0,"Adventure,Strategy",749
588,A wonderfully directed «interactive TV series» about the harsh realities of LA police detective's life.,L.A. Noire: The Complete Edition,80.0,"Adventure,Strategy",750
589,"[January 2012, p.59]",L.A. Noire: The Complete Edition,80.0,"Adventure,Strategy",750
590,The PC version of L.A. Noire may have some minor flaws but the inclusion of the DLC and just the fact that this game is incredible is enough to justify picking up this package.,L.A. Noire: The Complete Edition,80.0,"Adventure,Strategy",751
591,"L.A. Noire is an ambitious and brilliant game, carrying a new vision for the adventure genre.",L.A. Noire: The Complete Edition,80.0,"Adventure,Strategy",752
592,"Sadly, it tries too hard to appeal to the mainstream by taking away control of your actions too often.",L.A. Noire: The Complete Edition,80.0,"Adventure,Strategy",752
593,A flawed gem that's very much worth playing.,L.A. Noire: The Complete Edition,70.0,"Adventure,Strategy",753
594,"[Jan 2012, p.44]",L.A. Noire: The Complete Edition,70.0,"Adventure,Strategy",753
595,Quotation forthcoming.,L.A. Noire: The Complete Edition,70.0,"Adventure,Strategy",754
596,"A brave attempt at a promising genre, but not hard-boiled enough to earn the traditional $25 a day plus expenses.",L.A. Noire: The Complete Edition,63.0,"Adventure,Strategy",755
597,"[Jan 2012, p.120]",L.A. Noire: The Complete Edition,63.0,"Adventure,Strategy",755
598,"On paper, it sounds brilliantly inventive.",L.A. Noire: The Complete Edition,60.0,"Adventure,Strategy",756
599,Nail-biting edge-of-your-seat conversation?,L.A. Noire: The Complete Edition,60.0,"Adventure,Strategy",756
600,That's practically unheard of in games.,L.A. Noire: The Complete Edition,60.0,"Adventure,Strategy",756
601,"Unfortunately, L.A. Noire drops the ball.",L.A. Noire: The Complete Edition,60.0,"Adventure,Strategy",756
602,"We can't knock the ambition of LA Noire, and the MotionSense technology certainly makes game characters look much more realistic without the need to install a rendering server in your home, but the game lacks fun.",L.A. Noire: The Complete Edition,60.0,"Adventure,Strategy",757
603,"LA Noire aims to makes you feel like a real-life police office, but real-life police-work is actually quite dull.",L.A. Noire: The Complete Edition,60.0,"Adventure,Strategy",757
759,"There's not much to say in summary other than ""It's a bargain!""",Anomaly: Warzone Earth,91.0,"Action,Indie,Strategy",906
760,"Unless you hate strategy games or don't have a rig powerful enough to run this, you should not pass up Anomaly.",Anomaly: Warzone Earth,90.0,"Action,Indie,Strategy",907
761,One of the best indie games you will play this year for sure.,Anomaly: Warzone Earth,90.0,"Action,Indie,Strategy",908
762,Rivals AAA games.,Anomaly: Warzone Earth,90.0,"Action,Indie,Strategy",908
763,"If you're interested in strategy games, I highly recommend you pick this one up and keep your eyes on 11 bit studios in the future!",Anomaly: Warzone Earth,90.0,"Action,Indie,Strategy",909
764,"For the price, Anomaly: Warzone Earth offers a fresh and exhilaratingly fun strategy experience that only few titles can match.",Anomaly: Warzone Earth,90.0,"Action,Indie,Strategy",910
765,"A fresh, fun idea, beautifully and expertly made.",Anomaly: Warzone Earth,88.0,"Action,Indie,Strategy",911
766,Any game this inventive and clever is worth your £9.,Anomaly: Warzone Earth,88.0,"Action,Indie,Strategy",911
767,"Despite the hazardous save system, Anomaly: Warzone Earth presents a fresh take on the Tower Defense genre.",Anomaly: Warzone Earth,85.0,"Action,Indie,Strategy",912
768,"It's satisfying, but leaves a lingering hunger for a sequel - hopefully with a tighter save system and more units.",Anomaly: Warzone Earth,85.0,"Action,Indie,Strategy",912
769,Going on the offensive for a change makes tower defense hybrid Anomaly: Warzone Earth a real blast.,Anomaly: Warzone Earth,85.0,"Action,Indie,Strategy",913
770,"The graphics are smooth and exciting, the action is hectic and well-balanced, and the gameplay is truly like nothing else I've ever seen before.",Anomaly: Warzone Earth,85.0,"Action,Indie,Strategy",914
771,"And, as I started out saying, this is a budget title.",Anomaly: Warzone Earth,85.0,"Action,Indie,Strategy",914
772,How much gameplay do you need for $10?,Anomaly: Warzone Earth,85.0,"Action,Indie,Strategy",914
773,I think for the money Anomaly: Warzone Earth is a fine bargain.,Anomaly: Warzone Earth,85.0,"Action,Indie,Strategy",914
774,"Exciting, clever and ultimately addictive.",Anomaly: Warzone Earth,85.0,"Action,Indie,Strategy",915
775,The simplicity of the design is where the game really shines.,Anomaly: Warzone Earth,84.0,"Action,Indie,Strategy",916
776,"[Oct 2011, p.105]",Anomaly: Warzone Earth,84.0,"Action,Indie,Strategy",916
777,The TD genre needs more like this.,Anomaly: Warzone Earth,84.0,"Action,Indie,Strategy",917
778,"[July 2011, p.77]",Anomaly: Warzone Earth,84.0,"Action,Indie,Strategy",917
779,Proves that tower defence is as much fun in reverse.,Anomaly: Warzone Earth,83.0,"Action,Indie,Strategy",918
780,"There's slick gameplay, nice visuals and a nice balance of action and strategy on offer here.",Anomaly: Warzone Earth,83.0,"Action,Indie,Strategy",918
781,"Silly dialogues and story aside, the only real fault of the game is that it doesn't have that many missions or units.",Anomaly: Warzone Earth,83.0,"Action,Indie,Strategy",918
782,[June 2011],Anomaly: Warzone Earth,83.0,"Action,Indie,Strategy",918
783,A pretty challenging strategy game.,Anomaly: Warzone Earth,83.0,"Action,Indie,Strategy",919
784,You are on the road to protect your tanks on a path that features many enemy turrets.,Anomaly: Warzone Earth,83.0,"Action,Indie,Strategy",919
785,"The graphics and sounds are neat, whilst the gameplay is really entertaining.",Anomaly: Warzone Earth,83.0,"Action,Indie,Strategy",919
786,"Then again, strategy games don't require a good narrative to be enjoyable, and for $10 Anomaly is definitely worth your time.",Anomaly: Warzone Earth,83.0,"Action,Indie,Strategy",920
787,"Whether you're a tower defense fan looking for something new or someone intimidated by the world of real time strategy, this game has a lot to offer.",Anomaly: Warzone Earth,83.0,"Action,Indie,Strategy",920
788,One of the more challenging and satisfying titles I've played all year.,Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",921
789,"It cleverly side-steps the tower-defense bottle neck by throwing things into reverse, creating a wholly unique tactical-strategy experience.",Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",921
790,Anomaly inverts the genre of tower defense games upside-down and provides an excellent mix of tactical action and operational management.,Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",922
791,[Issue#204],Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",922
792,"However, all of this comes under the unpretentious cover of a very self-conscious price: 9,99 Euros.",Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",923
793,"And thanks to it, you can't really hold the length against Anomaly, because cost-efficiency didn't get left out.",Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",923
794,So I can only encourage its purchase if you're into sweet small deals with sweet small prices in sweet small packages.,Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",923
795,"Despite several irritations, there's a lot of innovation in this title, and a lot of fun to be had with enough varied mission designs to prevent it from getting stale.",Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",924
796,The game is a gradual reconnaissance into your capabilities as a leader.,Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",925
797,"The smaller battles hone your self-awareness and prepare you for those glorious life-or-death crucibles – there's at least one per stage – where the screen bursts into a Technicolor fog of war, with glowing power-ups layered on top of energy bars on top of exploding missiles.",Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",925
798,Aside from the mediocre voice acting and shortness of the game I highly recommend Anomaly: Warzone Earth to everyone with a couple of hours to burn.,Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",926
799,You won't play through this game just once.,Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",926
800,You'll keep coming back just to make that one change to your route or upgrade to achieve that perfect score.,Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",926
801,The mayhem mode is a nice way to let us continue to get our fix after completing Tokyo's city story.,Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",926
802,"The new approach to the stale genre ensures a fun single-player experience, even if it is a bit short-lived.",Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",927
803,These flaws are mere minor annoyances.,Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",928
804,"Anomaly: Warzone Earth gives you a flexibility I've never encountered with tower-defense games, allowing you to determine the strategy you think is best suited for the situation at hand.",Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",928
805,The game is a lot of fun--and I hope this isn't the last we've seen of Anomaly from 11 bit studios.,Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",928
806,Anomaly: Warzone Earth is seriously a great value at $10.,Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",929
807,You will get more time and enjoyment out of this fun and addictive budget title than you will likely have gotten from many full retail priced games.,Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",929
808,"Considering the value for money, Anomaly: Warzone Earth is without doubt one of the best PC strategy games in recent months.",Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",930
809,"The idea of reversing the classical gameplay of tower defense games works great, the single player campaign is fairly long and the levels are quite challenging.",Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",930
810,Don't miss it.,Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",930
811,I wish that the developers' creation becomes popular enough so that they can create a more complex sequel without looking at a budget.,Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",931
812,"It could have some sort of a multiplayer mode - the game is lacking an opportunity to have a two player battle: one makes the turrets, the other tries to get through.",Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",931
813,But aside from that Anomaly is a very well made single player experience.,Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",931
814,Anomaly's short length doesn't make the time I spent with it any less amusing.,Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",932
815,The chance to explore this well-executed unusual concept is well worth its $10 price tag.,Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",932
816,I look forward to seeing what the future holds for this talented studio.,Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",932
817,A clever twist on tower defense that will rope back in gamers that think they've had enough of the well-worn formula.,Anomaly: Warzone Earth,80.0,"Action,Indie,Strategy",933
818,"With a great design, varied missions and a very addictive gameplay, Anomaly: Warzone Earth is revealed as a great action-strategy title.",Anomaly: Warzone Earth,78.0,"Action,Indie,Strategy",934
819,"Anomaly is, above all, a very fresh and interesting game, with fun mechanics.",Anomaly: Warzone Earth,75.0,"Action,Indie,Strategy",935
820,"It is a modest game which hasn't attracted much attention, but we are sure it will surprise many.",Anomaly: Warzone Earth,75.0,"Action,Indie,Strategy",935
821,Did you spend countless hours with tower defense games?,Anomaly: Warzone Earth,74.0,"Action,Indie,Strategy",936
822,Anomaly: Warzone Earth turns the tables and offers tower offense.,Anomaly: Warzone Earth,74.0,"Action,Indie,Strategy",936
823,"Presentation, controls and mission design are well done, so it's well worth the money.",Anomaly: Warzone Earth,74.0,"Action,Indie,Strategy",936
824,Proves there's still plenty of room for innovation in a genre once thought spent.,Anomaly: Warzone Earth,71.0,"Action,Indie,Strategy",937
825,"[July 2011, p.87]",Anomaly: Warzone Earth,71.0,"Action,Indie,Strategy",937
826,Quotation forthcoming.,Anomaly: Warzone Earth,70.0,"Action,Indie,Strategy",938
827,It's impossible to take Anomaly: Warzone Earth seriously.,Anomaly: Warzone Earth,70.0,"Action,Indie,Strategy",939
828,"It's a
distraction for a couple of evenings at best, and I wish it had more
emphasis on interesting gameplay modes than superfluous radio chatter.",Anomaly: Warzone Earth,70.0,"Action,Indie,Strategy",939
829,"Alas, as soon you move on to skirmish battles, the game quickly loses
its sparkle.",Anomaly: Warzone Earth,70.0,"Action,Indie,Strategy",939
830,"If, like us, you're the kind of nerd who gets worked up by good interface design, Anomaly's swiftly accessed tactical map and upgrade overlays may just leave you misting up your monitor or touchscreen.",Anomaly: Warzone Earth,70.0,"Action,Indie,Strategy",940
831,"[June 2011, p.103]",Anomaly: Warzone Earth,70.0,"Action,Indie,Strategy",940
832,"Complemented with a solid plot and gameplay that finds a steady medium between strategy and action, Anomaly is a clever game that is sure to draw in tower defense fans.",Anomaly: Warzone Earth,70.0,"Action,Indie,Strategy",941
833,It's a very interesting twist and breathes new life into what was quickly becoming a tired genre.,Anomaly: Warzone Earth,70.0,"Action,Indie,Strategy",941
834,"It's nothing revolutionary as far as Dawn of War II goes, but six excellent campaigns and great gameplay make this a must for both Warhammer 40K and RTS fans.","Warhammer 40,000: Dawn of War II - Retribution",92.0,Strategy,980
835,"An example of an add-on the way it should be, Retribution is even more engaging than the original game.","Warhammer 40,000: Dawn of War II - Retribution",90.0,Strategy,981
836,"[May 2011, p.97]","Warhammer 40,000: Dawn of War II - Retribution",90.0,Strategy,981
837,"It may be based on a two-year-old game, but Retribution looks, sounds, and plays brilliantly and is virtually impossible not to recommend.","Warhammer 40,000: Dawn of War II - Retribution",90.0,Strategy,982
838,"Thankfully, all the fundamentals are sound: From the well-designed campaign, to the fast-paced multiplayer, to the graphics, to the sound, this is a solid, well-constructed title that's sure to be worth your money.","Warhammer 40,000: Dawn of War II - Retribution",90.0,Strategy,983
839,"If you're still playing Dawn of War II, or if you're a fan of the Imperial Guard, Retribution is practically a no-brainer.","Warhammer 40,000: Dawn of War II - Retribution",88.0,Strategy,984
840,"If you're a fan of Warhammer 40,000 or the real-time strategy genre, now's a great time to get started, since Retribution is a standalone game with access to everything from the first two Dawn of War II games, save for their campaigns.","Warhammer 40,000: Dawn of War II - Retribution",88.0,Strategy,984
841,"Either way, it's a return for one of real time strategy's great names, and certainly worth your time and dollar if you've got any interest in following more of the story of Subsector Aurelia.","Warhammer 40,000: Dawn of War II - Retribution",88.0,Strategy,984
842,"Exactly what Dawn of War 2 needed: a generous dose of variety, options, and vicious silliness.","Warhammer 40,000: Dawn of War II - Retribution",88.0,Strategy,985
843,play through it at least twice.,"Warhammer 40,000: Dawn of War II - Retribution",88.0,Strategy,985
844,"Mixes up the series' gameplay fundamentals in interesting ways without fouling up what makes it unique, reinvigorating the multiplayer game in process.","Warhammer 40,000: Dawn of War II - Retribution",87.0,Strategy,986
845,"It's a remarkably ambitious standalone expansion, and at a mere $30, it's a great introduction to those who've yet to take up arms.","Warhammer 40,000: Dawn of War II - Retribution",87.0,Strategy,986
846,"A new fraction, fresh units, additional multiplayer maps and an extensive single-player campaign with a high replayability factor- to describe Retributiononly as a simple extension verges on insult.","Warhammer 40,000: Dawn of War II - Retribution",87.0,Strategy,987
